timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772131791840,2026-02-26T18:49:51.840106+00:00,0.0,0.0
1772131792840,2026-02-26T18:49:52.840178+00:00,0.0,0.0
1772131793840,2026-02-26T18:49:53.840276+00:00,0.0,0.0
1772131794840,2026-02-26T18:49:54.840361+00:00,0.0,0.0
1772131795840,2026-02-26T18:49:55.840453+00:00,0.0,0.0
1772131796840,2026-02-26T18:49:56.840547+00:00,0.0,0.0
1772131797840,2026-02-26T18:49:57.840635+00:00,0.0,0.0
1772131798840,2026-02-26T18:49:58.840735+00:00,0.0,0.0
1772131799840,2026-02-26T18:49:59.840819+00:00,0.0,0.0
1772131800840,2026-02-26T18:50:00.840921+00:00,0.0,0.0
1772131801841,2026-02-26T18:50:01.841009+00:00,0.0,0.0
1772131802841,2026-02-26T18:50:02.841095+00:00,0.0,0.0
1772131803842,2026-02-26T18:50:03.842129+00:00,0.0,0.0
1772131804842,2026-02-26T18:50:04.842186+00:00,0.0,0.0
1772131805842,2026-02-26T18:50:05.842270+00:00,0.0,0.0
1772131806842,2026-02-26T18:50:06.842361+00:00,0.0,0.0
1772131807842,2026-02-26T18:50:07.842469+00:00,0.0,0.0
1772131808842,2026-02-26T18:50:08.842566+00:00,0.0,0.0
1772131809842,2026-02-26T18:50:09.842663+00:00,0.0,0.0
1772131810842,2026-02-26T18:50:10.842756+00:00,0.0,0.0
1772131811842,2026-02-26T18:50:11.842842+00:00,0.0,0.0
1772131812842,2026-02-26T18:50:12.842929+00:00,0.0,0.0
1772131813843,2026-02-26T18:50:13.843023+00:00,0.0,0.0
1772131814843,2026-02-26T18:50:14.843109+00:00,0.0,0.0
1772131815843,2026-02-26T18:50:15.843194+00:00,0.0,0.0
1772131816843,2026-02-26T18:50:16.843280+00:00,0.0,0.0
1772131817843,2026-02-26T18:50:17.843373+00:00,0.0,0.0
1772131818843,2026-02-26T18:50:18.843463+00:00,0.0,0.0
1772131819843,2026-02-26T18:50:19.843552+00:00,0.0,0.0
1772131820843,2026-02-26T18:50:20.843650+00:00,0.0,0.0
1772131821843,2026-02-26T18:50:21.843743+00:00,0.0,0.0
1772131822843,2026-02-26T18:50:22.843834+00:00,0.0,0.0
1772131823843,2026-02-26T18:50:23.843920+00:00,0.0,0.0
1772131824844,2026-02-26T18:50:24.844019+00:00,0.0,0.0
1772131825844,2026-02-26T18:50:25.844117+00:00,0.0,0.0
1772131826844,2026-02-26T18:50:26.844205+00:00,0.0,0.0
1772131827844,2026-02-26T18:50:27.844297+00:00,0.0,0.0
1772131828844,2026-02-26T18:50:28.844385+00:00,0.0,0.0
1772131829844,2026-02-26T18:50:29.844465+00:00,0.0,0.0
1772131830846,2026-02-26T18:50:30.846131+00:00,0.0,0.0
1772131831846,2026-02-26T18:50:31.846224+00:00,0.0,0.0
1772131832846,2026-02-26T18:50:32.846312+00:00,0.0,0.0
1772131833846,2026-02-26T18:50:33.846397+00:00,0.0,0.0
1772131834846,2026-02-26T18:50:34.846502+00:00,0.0004,0.0005
1772131835846,2026-02-26T18:50:35.846598+00:00,0.0007,0.0154
1772131836846,2026-02-26T18:50:36.846684+00:00,0.0001,0.0002
1772131837846,2026-02-26T18:50:37.846774+00:00,0.0001,0.0003
1772131838846,2026-02-26T18:50:38.846872+00:00,0.0,0.0002
1772131839846,2026-02-26T18:50:39.846963+00:00,0.0001,0.0003
1772131840847,2026-02-26T18:50:40.847050+00:00,0.0003,0.0005
1772131841847,2026-02-26T18:50:41.847129+00:00,0.0005,0.0009
1772131842847,2026-02-26T18:50:42.847215+00:00,0.0005,0.0005
1772131843847,2026-02-26T18:50:43.847308+00:00,0.0,0.0
1772131844847,2026-02-26T18:50:44.847399+00:00,0.0,0.0
1772131845847,2026-02-26T18:50:45.847493+00:00,0.0,0.0
1772131846847,2026-02-26T18:50:46.847592+00:00,0.0,0.0
1772131847847,2026-02-26T18:50:47.847682+00:00,0.0,0.0
1772131848847,2026-02-26T18:50:48.847767+00:00,0.0,0.0
1772131849847,2026-02-26T18:50:49.847857+00:00,0.0,0.0
1772131850847,2026-02-26T18:50:50.847951+00:00,0.0,0.0
1772131851848,2026-02-26T18:50:51.848049+00:00,0.0,0.0
1772131852848,2026-02-26T18:50:52.848208+00:00,0.0,0.0
