timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772125767002,2026-02-26T17:09:27.002330+00:00,0.0,0.0
1772125768002,2026-02-26T17:09:28.002417+00:00,0.0,0.0
1772125769002,2026-02-26T17:09:29.002500+00:00,0.0,0.0
1772125770002,2026-02-26T17:09:30.002582+00:00,0.0,0.0
1772125771002,2026-02-26T17:09:31.002670+00:00,0.0,0.0
1772125772002,2026-02-26T17:09:32.002748+00:00,0.0,0.0
1772125773002,2026-02-26T17:09:33.002839+00:00,0.0,0.0
1772125774002,2026-02-26T17:09:34.002927+00:00,0.0,0.0
1772125775003,2026-02-26T17:09:35.003011+00:00,0.0,0.0
1772125776003,2026-02-26T17:09:36.003105+00:00,0.0,0.0
1772125777003,2026-02-26T17:09:37.003197+00:00,0.0,0.0
1772125778003,2026-02-26T17:09:38.003285+00:00,0.0,0.0
1772125779003,2026-02-26T17:09:39.003371+00:00,0.0,0.0
1772125780003,2026-02-26T17:09:40.003456+00:00,0.0,0.0
1772125781003,2026-02-26T17:09:41.003550+00:00,0.0,0.0
1772125782003,2026-02-26T17:09:42.003638+00:00,0.0,0.0
1772125783003,2026-02-26T17:09:43.003722+00:00,0.0,0.0
1772125784003,2026-02-26T17:09:44.003805+00:00,0.0,0.0
1772125785003,2026-02-26T17:09:45.003899+00:00,0.0,0.0
1772125786003,2026-02-26T17:09:46.003962+00:00,0.0,0.0
1772125787004,2026-02-26T17:09:47.004060+00:00,0.0,0.0
1772125788004,2026-02-26T17:09:48.004141+00:00,0.0,0.0
1772125789005,2026-02-26T17:09:49.005130+00:00,0.0,0.0
1772125790006,2026-02-26T17:09:50.006927+00:00,0.0,0.0
1772125791007,2026-02-26T17:09:51.007013+00:00,0.0,0.0
1772125792007,2026-02-26T17:09:52.007103+00:00,0.0,0.0
1772125793007,2026-02-26T17:09:53.007184+00:00,0.0,0.0
1772125794007,2026-02-26T17:09:54.007274+00:00,0.0,0.0
1772125795007,2026-02-26T17:09:55.007365+00:00,0.0,0.0
1772125796007,2026-02-26T17:09:56.007452+00:00,0.0,0.0
1772125797007,2026-02-26T17:09:57.007534+00:00,0.0,0.0
1772125798007,2026-02-26T17:09:58.007618+00:00,0.0,0.0
1772125799007,2026-02-26T17:09:59.007713+00:00,0.0,0.0
1772125800007,2026-02-26T17:10:00.007800+00:00,0.0,0.0
1772125801007,2026-02-26T17:10:01.007897+00:00,0.0,0.0
1772125802007,2026-02-26T17:10:02.007985+00:00,0.0,0.0
1772125803008,2026-02-26T17:10:03.008074+00:00,0.0,0.0
1772125804008,2026-02-26T17:10:04.008120+00:00,0.0,0.0
1772125805008,2026-02-26T17:10:05.008206+00:00,0.0,0.0
1772125806008,2026-02-26T17:10:06.008297+00:00,0.0,0.0
1772125807008,2026-02-26T17:10:07.008381+00:00,0.0,0.0
1772125808008,2026-02-26T17:10:08.008466+00:00,0.0,0.0
1772125809008,2026-02-26T17:10:09.008559+00:00,0.0,0.0
1772125810008,2026-02-26T17:10:10.008652+00:00,0.0,0.0
1772125811008,2026-02-26T17:10:11.008733+00:00,0.0,0.0
1772125812008,2026-02-26T17:10:12.008816+00:00,0.0,0.0
1772125813008,2026-02-26T17:10:13.008909+00:00,0.0,0.0
1772125814008,2026-02-26T17:10:14.008972+00:00,0.0,0.0
1772125815009,2026-02-26T17:10:15.009048+00:00,0.0,0.0
1772125816009,2026-02-26T17:10:16.009129+00:00,0.0,0.0
1772125817009,2026-02-26T17:10:17.009212+00:00,0.0,0.0
1772125818009,2026-02-26T17:10:18.009291+00:00,0.0,0.0
1772125819009,2026-02-26T17:10:19.009382+00:00,0.0,0.0
1772125820009,2026-02-26T17:10:20.009470+00:00,0.0,0.0
1772125821009,2026-02-26T17:10:21.009553+00:00,0.0,0.0
1772125822009,2026-02-26T17:10:22.009642+00:00,0.0,0.0
1772125823009,2026-02-26T17:10:23.009738+00:00,0.0,0.0
1772125824009,2026-02-26T17:10:24.009824+00:00,0.0,0.0
1772125825009,2026-02-26T17:10:25.009912+00:00,0.0,0.0
1772125826010,2026-02-26T17:10:26.010013+00:00,0.0,0.0
1772125827010,2026-02-26T17:10:27.010111+00:00,0.0,0.0
1772125828010,2026-02-26T17:10:28.010391+00:00,0.0,0.0
