timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1788963543888,2026-09-09T14:19:03.888086+00:00,0.0007,0.001
1788963544888,2026-09-09T14:19:04.888172+00:00,0.0562,6.6081
1788963545888,2026-09-09T14:19:05.888299+00:00,0.0703,9.0109
1788963546888,2026-09-09T14:19:06.888557+00:00,0.0716,8.4104
1788963547888,2026-09-09T14:19:07.888701+00:00,0.0745,8.4105
1788963548888,2026-09-09T14:19:08.888846+00:00,0.0709,8.4103
1788963549888,2026-09-09T14:19:09.888976+00:00,0.0716,9.011
1788963550889,2026-09-09T14:19:10.889109+00:00,0.075,8.4105
1788963551889,2026-09-09T14:19:11.889199+00:00,0.0713,8.4104
1788963552889,2026-09-09T14:19:12.889298+00:00,0.0715,9.0109
1788963553889,2026-09-09T14:19:13.889551+00:00,0.0728,8.4103
1788963554889,2026-09-09T14:19:14.889692+00:00,0.0746,8.4105
1788963555889,2026-09-09T14:19:15.889815+00:00,0.0709,8.4104
1788963556890,2026-09-09T14:19:16.890078+00:00,0.0715,9.0109
1788963557890,2026-09-09T14:19:17.890362+00:00,0.0711,8.4104
1788963558890,2026-09-09T14:19:18.890490+00:00,0.0743,8.4105
1788963559890,2026-09-09T14:19:19.890590+00:00,0.0714,9.011
1788963560890,2026-09-09T14:19:20.890835+00:00,0.073,8.4104
1788963561890,2026-09-09T14:19:21.890936+00:00,0.0765,8.4106
1788963562891,2026-09-09T14:19:22.891007+00:00,0.0708,8.4103
1788963563891,2026-09-09T14:19:23.891134+00:00,0.0734,9.011
1788963564891,2026-09-09T14:19:24.891420+00:00,0.0742,8.4103
1788963565891,2026-09-09T14:19:25.891543+00:00,0.0715,8.4106
1788963566891,2026-09-09T14:19:26.891673+00:00,0.0711,9.0109
1788963567891,2026-09-09T14:19:27.891927+00:00,0.0718,8.4104
1788963568892,2026-09-09T14:19:28.892049+00:00,0.0751,8.4105
1788963569892,2026-09-09T14:19:29.892193+00:00,0.0705,8.4103
1788963570892,2026-09-09T14:19:30.892316+00:00,0.0732,9.0109
1788963571892,2026-09-09T14:19:31.892498+00:00,0.0751,8.4105
1788963572892,2026-09-09T14:19:32.892592+00:00,0.0721,8.4105
1788963573893,2026-09-09T14:19:33.893668+00:00,0.0716,8.9735
1788963574893,2026-09-09T14:19:34.893921+00:00,0.071,8.4477
1788963575894,2026-09-09T14:19:35.894106+00:00,0.0762,8.4106
1788963576894,2026-09-09T14:19:36.894709+00:00,0.0702,8.4103
1788963577894,2026-09-09T14:19:37.894815+00:00,0.0716,9.011
1788963578895,2026-09-09T14:19:38.895038+00:00,0.0724,8.4104
1788963579895,2026-09-09T14:19:39.895116+00:00,0.0756,8.4105
1788963580895,2026-09-09T14:19:40.895206+00:00,0.0732,9.011
1788963581895,2026-09-09T14:19:41.895478+00:00,0.0712,8.4104
1788963582895,2026-09-09T14:19:42.895583+00:00,0.0767,8.4105
1788963583895,2026-09-09T14:19:43.895650+00:00,0.0707,8.4104
1788963584895,2026-09-09T14:19:44.895781+00:00,0.0722,9.0109
1788963585896,2026-09-09T14:19:45.896058+00:00,0.0752,8.4105
1788963586896,2026-09-09T14:19:46.896144+00:00,0.0709,8.4103
1788963587897,2026-09-09T14:19:47.897255+00:00,0.0706,9.011
1788963588897,2026-09-09T14:19:48.897508+00:00,0.0712,8.4103
1788963589897,2026-09-09T14:19:49.897634+00:00,0.0749,8.4105
1788963590897,2026-09-09T14:19:50.897741+00:00,0.0711,8.4103
1788963591897,2026-09-09T14:19:51.897845+00:00,0.072,9.011
1788963592898,2026-09-09T14:19:52.898030+00:00,0.0751,8.4105
1788963593898,2026-09-09T14:19:53.898158+00:00,0.0714,8.4104
1788963594899,2026-09-09T14:19:54.899761+00:00,0.0713,9.0109
1788963595900,2026-09-09T14:19:55.900032+00:00,0.0728,8.4103
1788963596900,2026-09-09T14:19:56.900143+00:00,0.0751,8.4105
1788963597902,2026-09-09T14:19:57.902682+00:00,0.0699,8.4104
1788963598902,2026-09-09T14:19:58.902767+00:00,0.0722,9.011
1788963599903,2026-09-09T14:19:59.903052+00:00,0.0751,8.4104
1788963600903,2026-09-09T14:20:00.903157+00:00,0.0701,8.4104
1788963601903,2026-09-09T14:20:01.903304+00:00,0.0731,9.011
1788963602903,2026-09-09T14:20:02.903602+00:00,0.0702,8.4103
1788963603903,2026-09-09T14:20:03.903743+00:00,0.0751,8.4105
1788963604903,2026-09-09T14:20:04.903823+00:00,0.0715,8.4103
1788963605903,2026-09-09T14:20:05.903940+00:00,0.0722,9.011
1788963606904,2026-09-09T14:20:06.904075+00:00,0.0746,8.4105
1788963607904,2026-09-09T14:20:07.904183+00:00,0.0703,8.4104
1788963608904,2026-09-09T14:20:08.904281+00:00,0.0712,9.0109
1788963609904,2026-09-09T14:20:09.904465+00:00,0.0716,8.4103
1788963610904,2026-09-09T14:20:10.904603+00:00,0.0705,8.4103
1788963611906,2026-09-09T14:20:11.906682+00:00,0.0745,8.4105
1788963612906,2026-09-09T14:20:12.906768+00:00,0.0717,9.0109
1788963613907,2026-09-09T14:20:13.907045+00:00,0.075,8.4104
