timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772125617936,2026-02-26T17:06:57.936171+00:00,0.0,0.0001
1772125618936,2026-02-26T17:06:58.936238+00:00,0.0006,0.002
1772125619936,2026-02-26T17:06:59.936328+00:00,0.0004,0.0018
1772125620936,2026-02-26T17:07:00.936409+00:00,0.0004,0.0021
1772125621936,2026-02-26T17:07:01.936490+00:00,0.0005,0.0023
1772125622936,2026-02-26T17:07:02.936582+00:00,0.0004,0.002
1772125623939,2026-02-26T17:07:03.939128+00:00,0.0005,0.0024
1772125624939,2026-02-26T17:07:04.939210+00:00,0.0004,0.0019
1772125625939,2026-02-26T17:07:05.939292+00:00,0.0004,0.0023
1772125626939,2026-02-26T17:07:06.939392+00:00,0.0004,0.0022
1772125627939,2026-02-26T17:07:07.939476+00:00,0.0005,0.0023
1772125628939,2026-02-26T17:07:08.939570+00:00,0.0002,0.0003
1772125629939,2026-02-26T17:07:09.939668+00:00,0.0,0.0
1772125630939,2026-02-26T17:07:10.939754+00:00,0.0011,0.0008
1772125631939,2026-02-26T17:07:11.939913+00:00,0.0009,0.0007
1772125632939,2026-02-26T17:07:12.939955+00:00,0.0003,0.0012
1772125633940,2026-02-26T17:07:13.940049+00:00,0.0,0.0
1772125634940,2026-02-26T17:07:14.940129+00:00,0.0001,0.0001
1772125635940,2026-02-26T17:07:15.940198+00:00,0.0005,0.0005
1772125636940,2026-02-26T17:07:16.940289+00:00,0.0,0.0
1772125637940,2026-02-26T17:07:17.940372+00:00,0.0,0.0
1772125638940,2026-02-26T17:07:18.940438+00:00,0.0,0.0
1772125639940,2026-02-26T17:07:19.940524+00:00,0.0,0.0
1772125640940,2026-02-26T17:07:20.940576+00:00,0.0,0.0
1772125641940,2026-02-26T17:07:21.940662+00:00,0.0,0.0
1772125642940,2026-02-26T17:07:22.940758+00:00,0.0,0.0
1772125643940,2026-02-26T17:07:23.940854+00:00,0.0,0.0
1772125644940,2026-02-26T17:07:24.940939+00:00,0.0,0.0
1772125645941,2026-02-26T17:07:25.941025+00:00,0.0,0.0
1772125646941,2026-02-26T17:07:26.941128+00:00,0.0,0.0
1772125647941,2026-02-26T17:07:27.941215+00:00,0.0,0.0
1772125648941,2026-02-26T17:07:28.941309+00:00,0.0,0.0
1772125649941,2026-02-26T17:07:29.941392+00:00,0.0,0.0
1772125650941,2026-02-26T17:07:30.941471+00:00,0.0,0.0
1772125651941,2026-02-26T17:07:31.941537+00:00,0.0,0.0
1772125652941,2026-02-26T17:07:32.941709+00:00,0.0,0.0
1772125653941,2026-02-26T17:07:33.941860+00:00,0.0,0.0
1772125654941,2026-02-26T17:07:34.941950+00:00,0.0,0.0
1772125655942,2026-02-26T17:07:35.942034+00:00,0.0,0.0
1772125656942,2026-02-26T17:07:36.942125+00:00,0.0,0.0
1772125657942,2026-02-26T17:07:37.942208+00:00,0.0,0.0
1772125658942,2026-02-26T17:07:38.942307+00:00,0.0,0.0
1772125659942,2026-02-26T17:07:39.942394+00:00,0.0,0.0
1772125660942,2026-02-26T17:07:40.942481+00:00,0.0,0.0
1772125661942,2026-02-26T17:07:41.942563+00:00,0.0,0.0
1772125662942,2026-02-26T17:07:42.942648+00:00,0.0,0.0
1772125663942,2026-02-26T17:07:43.942735+00:00,0.0,0.0
1772125664942,2026-02-26T17:07:44.942838+00:00,0.0,0.0
1772125665942,2026-02-26T17:07:45.942948+00:00,0.0,0.0
1772125666943,2026-02-26T17:07:46.943042+00:00,0.0,0.0
1772125667943,2026-02-26T17:07:47.943130+00:00,0.0,0.0
1772125668943,2026-02-26T17:07:48.943220+00:00,0.0,0.0
1772125669943,2026-02-26T17:07:49.943308+00:00,0.0,0.0
1772125670943,2026-02-26T17:07:50.943396+00:00,0.0,0.0
1772125671943,2026-02-26T17:07:51.943483+00:00,0.0,0.0
1772125672943,2026-02-26T17:07:52.943568+00:00,0.0,0.0
1772125673943,2026-02-26T17:07:53.943650+00:00,0.0006,0.0002
1772125674943,2026-02-26T17:07:54.943738+00:00,0.0,0.0
1772125675943,2026-02-26T17:07:55.943826+00:00,0.0,0.0
1772125676943,2026-02-26T17:07:56.943911+00:00,0.0,0.0
1772125677944,2026-02-26T17:07:57.944016+00:00,0.0,0.0
1772125678944,2026-02-26T17:07:58.944302+00:00,0.0001,0.0001
