timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1784023086090,2026-07-14T09:58:06.090786+00:00,0.0011,0.0015
1784023087090,2026-07-14T09:58:07.090912+00:00,0.0572,6.6099
1784023088091,2026-07-14T09:58:08.091028+00:00,0.0723,8.4124
1784023089092,2026-07-14T09:58:09.092490+00:00,0.0719,8.847
1784023090092,2026-07-14T09:58:10.092739+00:00,0.0725,8.5798
1784023091092,2026-07-14T09:58:11.092842+00:00,0.0762,8.413
1784023092092,2026-07-14T09:58:12.092944+00:00,0.0726,8.4138
1784023093093,2026-07-14T09:58:13.093030+00:00,0.0561,6.6073
1784023094093,2026-07-14T09:58:14.093197+00:00,0.0004,0.0002
1784023095093,2026-07-14T09:58:15.093475+00:00,0.0002,0.0001
1784023096093,2026-07-14T09:58:16.093579+00:00,0.0761,9.01
1784023097093,2026-07-14T09:58:17.093733+00:00,0.1372,16.8188
1784023098093,2026-07-14T09:58:18.093858+00:00,0.0755,8.4096
1784023099094,2026-07-14T09:58:19.094003+00:00,0.0706,9.01
1784023100094,2026-07-14T09:58:20.094115+00:00,0.0746,8.4097
1784023101094,2026-07-14T09:58:21.094218+00:00,0.0707,8.4095
1784023102094,2026-07-14T09:58:22.094340+00:00,0.0704,8.4095
1784023103094,2026-07-14T09:58:23.094478+00:00,0.0715,9.01
1784023104094,2026-07-14T09:58:24.094605+00:00,0.0712,8.4096
1784023105094,2026-07-14T09:58:25.094724+00:00,0.0764,8.4096
1784023106094,2026-07-14T09:58:26.094859+00:00,0.0719,9.01
1784023107094,2026-07-14T09:58:27.094979+00:00,0.0752,8.4096
1784023108095,2026-07-14T09:58:28.095148+00:00,0.0703,8.4096
1784023109097,2026-07-14T09:58:29.097577+00:00,0.0701,8.4095
1784023110097,2026-07-14T09:58:30.097696+00:00,0.0708,9.0097
1784023111097,2026-07-14T09:58:31.097814+00:00,0.0758,8.4101
1784023112097,2026-07-14T09:58:32.097932+00:00,0.0708,8.4095
1784023113098,2026-07-14T09:58:33.098029+00:00,0.0726,9.01
1784023114098,2026-07-14T09:58:34.098140+00:00,0.0746,8.4096
1784023115098,2026-07-14T09:58:35.098267+00:00,0.0718,8.41
1784023116098,2026-07-14T09:58:36.098360+00:00,0.0704,8.8283
1784023117098,2026-07-14T09:58:37.098458+00:00,0.0722,8.591
1784023118098,2026-07-14T09:58:38.098582+00:00,0.0751,8.4096
1784023119098,2026-07-14T09:58:39.098692+00:00,0.0715,8.4094
1784023120100,2026-07-14T09:58:40.100291+00:00,0.0713,9.0101
1784023121100,2026-07-14T09:58:41.100462+00:00,0.076,8.4096
1784023122100,2026-07-14T09:58:42.100630+00:00,0.0715,8.4096
1784023123102,2026-07-14T09:58:43.102307+00:00,0.0711,8.5395
1784023124102,2026-07-14T09:58:44.102414+00:00,0.0722,8.8798
1784023125102,2026-07-14T09:58:45.102539+00:00,0.0741,8.411
1784023126102,2026-07-14T09:58:46.102686+00:00,0.0703,8.4095
1784023127102,2026-07-14T09:58:47.102818+00:00,0.0711,8.4096
1784023128102,2026-07-14T09:58:48.102962+00:00,0.0723,9.01
1784023129103,2026-07-14T09:58:49.103088+00:00,0.0757,8.4096
1784023130103,2026-07-14T09:58:50.103265+00:00,0.0702,8.4095
1784023131105,2026-07-14T09:58:51.105304+00:00,0.0713,8.4093
1784023132105,2026-07-14T09:58:52.105404+00:00,0.0725,9.01
1784023133105,2026-07-14T09:58:53.105526+00:00,0.0745,8.4095
1784023134105,2026-07-14T09:58:54.105735+00:00,0.0703,8.4095
1784023135105,2026-07-14T09:58:55.105833+00:00,0.0703,9.01
1784023136106,2026-07-14T09:58:56.106062+00:00,0.0764,8.4096
1784023137106,2026-07-14T09:58:57.106214+00:00,0.0709,8.4095
1784023138106,2026-07-14T09:58:58.106416+00:00,0.0704,8.8284
1784023139106,2026-07-14T09:58:59.106556+00:00,0.0712,8.5912
1784023140106,2026-07-14T09:59:00.106654+00:00,0.0769,8.4103
1784023141106,2026-07-14T09:59:01.106763+00:00,0.0698,8.4095
1784023142107,2026-07-14T09:59:02.107321+00:00,0.0708,8.4094
1784023143109,2026-07-14T09:59:03.109300+00:00,0.0704,8.4095
1784023144109,2026-07-14T09:59:04.109561+00:00,0.0761,9.01
1784023145109,2026-07-14T09:59:05.109677+00:00,0.0724,8.4099
1784023146110,2026-07-14T09:59:06.110325+00:00,0.0711,8.4097
1784023147110,2026-07-14T09:59:07.110472+00:00,0.0713,9.01
1784023148110,2026-07-14T09:59:08.110569+00:00,0.0758,8.4096
1784023149110,2026-07-14T09:59:09.110678+00:00,0.0709,8.4095
1784023150110,2026-07-14T09:59:10.110833+00:00,0.0713,8.4101
1784023151110,2026-07-14T09:59:11.110973+00:00,0.0708,9.0099
1784023152111,2026-07-14T09:59:12.111121+00:00,0.0757,8.4096
1784023153111,2026-07-14T09:59:13.111300+00:00,0.07,8.4094
1784023154111,2026-07-14T09:59:14.111469+00:00,0.0707,8.4097
1784023155111,2026-07-14T09:59:15.111562+00:00,0.0711,9.01
1784023156111,2026-07-14T09:59:16.111745+00:00,0.0748,8.4094
1784023157111,2026-07-14T09:59:17.111863+00:00,0.0705,8.4095
1784023158113,2026-07-14T09:59:18.113303+00:00,0.0704,8.5539
1784023159113,2026-07-14T09:59:19.113440+00:00,0.075,8.8656
1784023160113,2026-07-14T09:59:20.113566+00:00,0.0723,8.4098
1784023161113,2026-07-14T09:59:21.113672+00:00,0.0708,8.4095
1784023162113,2026-07-14T09:59:22.113779+00:00,0.07,9.01
1784023163113,2026-07-14T09:59:23.113875+00:00,0.0701,7.8091
1784023164113,2026-07-14T09:59:24.113969+00:00,0.0755,9.01
1784023165114,2026-07-14T09:59:25.114879+00:00,0.0703,8.7992
1784023166115,2026-07-14T09:59:26.115057+00:00,0.075,8.6199
1784023167115,2026-07-14T09:59:27.115216+00:00,0.0708,8.4096
1784023168115,2026-07-14T09:59:28.115314+00:00,0.0695,8.4095
1784023169115,2026-07-14T09:59:29.115436+00:00,0.0704,9.0105
1784023170115,2026-07-14T09:59:30.115718+00:00,0.0752,8.4095
1784023171115,2026-07-14T09:59:31.115875+00:00,0.0706,8.4095
1784023172118,2026-07-14T09:59:32.118302+00:00,0.0705,8.4095
1784023173118,2026-07-14T09:59:33.118551+00:00,0.0764,9.0104
